idx,class,conversation
55,3,"저기요 할아버지 여기 버스 안이기도 한데 환기도 잘 안되니까 마스크 좀 써주세요.
너가 뭔데 나보고 쓰라 말아야? 나한테 뭐 해준거 있어?
그게 아니고 이제 버스에서 원래 마스크 안쓰면 내리시거나 벌금 내셔야 해요.
그래서 뭐 어쩌라고. 지금 나 내좇을 수 있는 사람 있어?
그럼 여기서 내리세요 제가 내려드릴게요. 공공장소인데 남한테 피해주면 안되시죠.
너 내가 죽여버릴거야. 각오해. 마스크? 그거 평생 안 쓰게 만들어줄게.
그게 뭔 소리세요. 그런 말 함부러 하시면 안되죠. 아무리 연세가 많으시다고 해도.
그니까 애초에 왜 내 신경을 건드려. 내가 지금은 이렇게 조용하지만 어릴적에는 여럿 패고 다녔어. 오랜만에 힘 좀 써야하네.
협박하시면 신고하실거고요. 마스크 하나 써달라고 했다고 그렇게 말씀하시지 마세요.
내가 뭐 어떻게 말하던 무슨 상관인가? 실제로 죽일것도 아닌데. 오늘 저녁에 죽을거 같을 때 신나게 신고하던지 끌끌"
63,3,"오빠 저랑 사귀어주세요. 오빠 신인때부터 제가 응원해왔고 오빠가 여기까지 올라올수 있었던건 저 덕분이잖아요.!
무슨 소리야. 무서운 소리하지말고 당장 내 앞에서 꺼져. 아니면 매니저 부르고 경찰에 신고할거야.
오빠. 팬사인회에서 나 사랑한다면서요. 무대때도 내 쪽 계솓 쳐다봤으면서.!
난 너 누구인지 기억도 못 하겠고 그런적 없어. 제발 내 팬이라면 이제 가줘 제발.
오빠. 내가 오빠 앞에서 죽어버렸으면 좋겠어요? 오빠는 팬 죽는거 보고싶어요.?
너 손에 그거 뭐야. 당장 내려놔. 위험해.
오빠랑 사랑할수 없다면 전 죽어버릴거에요. 신문사 기자한테도 다 소문 퍼트려놨어요. 오빠가 저 임신시키고 낙태시켰다구요.
너 정말 미쳤구나. 소름끼친다. 나 경찰 불렀고 너 곧 잡혀갈거야. 좋은 말 할때 그 칼 내려놔.
오빠. 나 오빠가 어제 연예인 랑 데이트하는거 봤어요. 오빤 날 배신했네.? 난 오빠만 바라봤는데. 비참해. 죽어버릴거야!!! 손목 그을거야. 오빠도 같이 나랑 천국 가. 다음생에 만나면 우리 평생 사랑해요.
악 제발 다가오지 마!!!"
69,3,"너 왜 내말 안듣는데?
들을게.
말만 그렇게 하고 니가 하는게 없는데? 너 그럴때마다 진짜 죽이고 싶어
그래도 죽이고 싶다니.
진심이야. 나 칼로 너 찌를 수 있어. 못할것같냐?
진정해 
너같으면 진정되겠냐? 나 지금 칼 가져올거야.
미안해.
계속 그런식이면 진짜 너 죽일거야
안그럴게"
71,3,"자네가 내일 삼송그룹 회장이 192억 탈세를 했다는 사실을 기사로 내보낸다는 기자인가?
네 맞습니다
좋은 말로 할 때 그 기사 올리지 말게. 당신은 천호초 앞 우미린 아파트 602동 101호에 살고 당신네 자식은 8시35분 경에 등교를 하여 4시에 딩동댕피아노학원에 가지?
헉 . 그걸 어떻게
지금까지 앞에 한 말 잘 들었을 거야. 우리가 왜 자네에게 이런 말을 했는지 모르겠나?
제가 만약 올리게 된다면 어떻게 되나요 저는 시민들의 알권리가 있고 대한민국을 밝히는 일이 제 직업적 소명이기에 기자라는 직업을 택했습니다.
자네같은 기자만 수십 아니 하루에도 열 명씩 처리한다네. 이 세상엔 권력이면 자네 목숨값 하나정도야 쉬워
지금 안한다고 하면 목숨은 챙겨나갈 수 있지만 내일이면 당신 포함 당신의 가족들 전부가 죽게될거야
이 세상엔 경찰들이 있지 않습니까? 분명 폭로한다고 했던 기자가 죽는 것을 보고 공론화되어서 당신들이 다 죽인게 탄로날거에요
말귀를 잘 못알아 먹군. 자네가 이 세상을 바꿀 수 있을 거라 생각한다면 큰 오산이야 멍청한 직업적 소명에 내일 당장 목매달고 작별인사도 못 한 채로 산에 쳐 묻히기 싫으면 조용히 파일을 넘기고 나가게
네 살려주세요"
75,3,"저기요 이것좀 도와주세요
네 알겠습니다. 아가씨
야 이 새끼 잡아
뭐 뭐에요 이거 놔요
에휴 야도 별수없는 남자네 여자의 유혹에 바로 넘어가고
뭐야 함정이었어? 이런
야 수고 했다 여기 너 보상
감사합니다.
야 너 나 알지 넌 이제 죽었어
저한테 원하는게 뭐에요
아 너가 경찰청장 아들이라며 니 아버지 때문에 우리식구가 얼마나 고생했는 줄 알아?
그래서요
널 죽여야겠다. 개인적인 감정은 없다 너 아버지한테 빼고"
76,3,"그만 좀 꺼져
내가 뭘 했다고
그냥 너 존재 자체가 짜증나
아 왜 그래
쳐맞고싶냐
미안
그리고 너 동생 이쁘던데 
어?
이쁘다고
동생은 건드리지 마
건든다고 안 했는데? 죽고싶냐 이새끼야?
미안"
88,3,"너 하나밖에 없는 아들 잘생겼네. 이제 하나뿐인 아들도 곧 못볼텐데 인사하고 싶으면 해
제 하나밖에 없는 아들입니다 잘 아시지 않습니까 저 아들없으면 이 세상 못 살아아요
너가 살던 죽던 내 알바 아니잖아 내가 필요한건 그냥 니 아들이야
제 아들이 필요한 이유가 뭡니까? 제가 가능한 다 해결하도록 하겠습니다.
내가 너 딱해서 한 번 기회 주는거야. 역 물품보관소 가면 서류들 있을거야 그 서류 내가 보내는 장소로 가져다 놔
네 지금 바로 하겠습니다
경찰에 신고하면 어떻게 되는지 알지?
네 신고 안 할게요 제발 아들 다치지 않게 해주세요
하라는 대로만 하면 아들도 풀어주고 다 할게 근데 신고하면 니 아들 목숨 네 목숨까지 끊어버려서 세상에서 존재안하 게 만들거야
진짜 하라는 대로만 할게요 그냥 서류만 가져다주면 되는거 맞죠?"
98,3,"역시 가족이 있어야 오는건가?
 우리 가족을 인질로 잡아? 사람이야?
당연하지 얼굴보기 꽤나 힘든데 이렇게라도 볼 수 있어서 얼마나 좋아.
당장 우리가족 살려줘
살려줄게 살려주는 대신에 한 명에 니 장기 하나 어때?
정말 아직도 정신을 못차렸구나 그러니까 내가 여기서 나간거야.
가족들이 죽는걸 눈으로 지켜볼거야?
절대 안돼. 건들면 너넨 내 손에 죽어.
아이고. 그럼 니 장기 가져가게 마 취주사부터 맞자.
풀어주는 조건이야."
99,3,"그 영상 당장 내려. 죽여버리기 전에
 영상 조회수가 몇인데 내리라 마라야?
 내 얼굴 들어간 영상으로 이익 나니까 좋냐? 초상권 침해로 고소하기 전에 당장 내려
 너가 그때 동의한 거 잊었어?
 개소리 집어치우고 네 손모가지 날려버리기 전에 좋은 말 할 때 지워.
 개인정보 동의서 찾아보면 되겠네. 이 영상의 저작권이 누구한테 있는지 한번 따져보자고.
 내 얼굴 들어갔는데 너 같은 새끼한테 저작권이 있겠냐? 너 직장 거기 맞지? 신사역. 가서 너 실체 다 까발리기 전에 당장 영상 내려
 너 내 뒷조사 했니?
 못할 게 뭐있어
 소름돋는다 정말"
102,3,"잘지냈지 그동안 장기 잘 보관하고 있었겠지?
응 장기는 여기 이번이 내가 보관하는 마지막이야.
머 갑자기 여기를 나간다고 너 미쳤어?
아니야 나 이제 더 이상 이짓 하고싶지 않아.
그래? 그럼 너 들어올 때 했던 말 기억하지? 나갈 땐 걸어서 못나간다고.
응 기억해 그래서 말인데 나 좀 살려줘 우리 같이 빠져나가자.
싫어 난 안갈거야 여기서 널 죽일거야.
제발 나 살려줘 사람답게 살고 싶어.
우리한테 사람답게 사는 일은 더 이상 없어 그러고 싶음 죽어 총 줄테니까 자결해
아니야 제발. 제발 살려줘."
106,3,"차 안빼면 도끼로 찍어버린다
무슨일 입니까 누구세요
열받게 하지말고 시키는대로해
오후 6시까지는 지정주차가 아닌데 왜 그러세요
말 같지도 않은 소리 말고 죽기 싫으면 빼라
진정하시죠
말장난 하지말고 내눈 앞에 차 치워
시간 좀 주세요
쇠사슬로 영원히 묶어버리는 수가 있어
알겠어요 잠시만요"
119,3,"인스티지 너냐?
응 왜?
글내려라 생각이 있냐? 너도 죽어
내가 왜 죽어 너나 죽어
야 장난하지말고 내리라고 죽고싶냐
아씨 왜
너 때문에 손해배상 청구할거니까 입 다물고 내려라
나도 내가 글 쓰고싶은거 쓸 수 있는거 아니야?
얘 아직도 정신 못차렸네 그냥 내리라고 죽고싶냐 진짜
싫어. 나도 자유는 있지."
124,3,"야. 너 니 친구 어디로 튀었는지 불어.
저 진짜 몰라요. 저는 같이 달리고 있었는데 친구만 어디로 사라졌어요. 진짜 몰라요.
아니 요즘 청소년들은 간이 배 밖에 나왔나? 편의점에서 담배 훔치는 건 어디서 배웠어?
죄송해요. 저도 친구가 시켜서 했어요. 잘못했습니다.
방금 내가 코너 돌기 전에 친구랑 수신호 하는 거 봤어. 제대로 불어. 안 불면 너 다리 분질러 버릴테니까.
뭐라고 하셨어요? 
너 다리 부러뜨리겠다고!! 아주 그냥 이것들이 미쳐서!
아저씨 한 번만 봐주세요. 
아니 너 친구어디로 뛰어갔는지 말해. 안 얘기하면 너 팰거야!
저도 잘 모르겠다구요. 한번만 살려주세요.!"
130,3,"아주 세상이 만만한가봐. 고개 치켜들고 잘사네?
그렇지 않습니다.
야 너 그렇게 한번 살아봐. 니 식도에서 항문까지 얼마나 꼿꼿한지 확인시켜줄게.
아닙니다.
아니긴 뭐가아니야? 그렇게 당당한 자식이. 당당한 놈이라 표정도 당당하네?
죄송합니다.
죄송해? 그래도 몸은 성해서 안구며 심장이며 간이며 싱싱하겠다야.
죄송합니다.
죄송해봐 더. 그런식으로 죄송하면 나야 고맙지.너같은 놈 장기해결부터 머리카락 하나까지 흔적없이 만들어줄게. 내가 장난하는것 같지? 천천히 지켜봐라. 이 자식아.
정말 죄송합니다."
133,3,"거기 할머니 담배 좀 사다 줘.
어린 놈이 뭐라는 거야?
어린 놈한테 강냉이 다 털려서 얼마 안남은 이빨 다 뽑히고 싶어?
어.어린 녀석이!
어라? 할머니 한 대 쳐맞고 사다줄래?
어디 쳐봐라!
무식한 노인네야. 나 촉법소년이라 니 죽여도 감방 안 가. 적당히 나대. 진짜 아가리부터 찢어서 두동강 내기 전에.
.헉! 어린 녀석이.
할머니 한번만 더 시킬게. 이번에도 거절하면 뒤져.
.어떤 걸로 사다줘.
레종 3로 사와."
134,3,"아줌마 다음주부터 여기서 내가 타코야끼 팔테니까 아줌마는 다른데가서 붕어빵 팔아
저여기서 3년 팔았어요
3년 팔고 나발이고 많이 팔았으면 이제 양보도 하고 그래야지
저는 어디가서 하라고 그러세요
그거야 나 알바 아니고
그냥 사이좋게 같이 팔면 안될까요?
제정신이야? 붕어빵이랑 타코야끼 같이 팔자고?? 나란히? 둘다 죽자는거아니야?
흑 진짜 갈데가 없어서 그래요 제가 이동네서도 오래 살았고
지금 동네 부심 부려? 확 씨 쳐맞고 갈거야 그냥 갈거야?
.그냥갈게요"
143,3,"야 눈 없냐?
죄송합니다
왜 길가는 사람을 쳐
죄송합니다
사과하는 태도 좀 보소. 야 너 내가 누군지 알아?
예?
죽고싶어 환장했나. 안들려? 나 누군지 아냐고
아.아뇨.
너 하나쯤 여기서 죽여도 되는 사람이야. 내가.
그.죄송합니다."
151,3,"신이 인간을 참 설계를 잘 하셨네.
네.? 형님. 무슨 말씀이신지.
내가 너한테서 얻어올 것들이 다 두개씩 있잖아? 귀 눈 팔 다리 .
형님.왜 이러십니까.
어쩌냐. 그래도 아직 우리 일은 마무리해야하니까. 너도 봤지? 재혁이 그 새끼 어떻게 됐는지. 내 말을 귓등으로도 안들은 죄야. 니 새끼 귀가 문제였다고.
전. 제가.왜. 형님 살려주십쇼. 제발
안 죽어 안죽어. 임마. 우리 실수는 한 번으로 족하다고 했는데 벌써 3번째야. 한 번 정신차려야지? 
죄송합니다. 형님. 정말 이런 일 다시는.
닥쳐. 이 새끼야. 니가 이번 실수로 가져온 손해가 얼만 줄 알아? 야 사시미 가져와! 이 새끼 귀 뜯어서 벽에 걸어놀라니깐.
으악.! 하.하지마십쇼! 제발.!"
160,3,"여보세요? 무슨 볼일이야?
나야. 저번에 얘기한 하청업체 추천. 말해봤어?
뭐? 내가 도와줄 생각 없다고 했잖아.
어쭈 돈 많은 남자랑 재혼해서 명품 줄줄 걸치고 다니더만 왜 나도 덕 좀 보자는데 그건 배알이 꼴리냐?
날 언제 봤다고 그래? 이제 내 뒤도 따라 다녀?
뭐 성주 새 아빠한테 무슨 일 생기면 내가 성주 어딨는지 정돈 알아야 될거 아냐?
성주 새아빠한테 무슨 일이 왜 생겨. 지금 협박하는거야?
협박은 아니지. 니가 자꾸 나 안도와주면 현실이 될건데.
우리 연준씨한테 무슨 일 생기면 너 진짜 가만 안둬. 고소하고 끝까지 쫓아갈거야.
어 어디 한번 해봐. 쫓아오는 꼴 한번 보고나 싶네. 근데. 그 전에 너를 내가 멀쩡히 둘거 같냐?
뭐. 뭐라고? 내가 그렇게 당할것 같아? 나 못 도와줘. 알아서 하라고!
내가 너 죽이고 니 새 남편까지 죽이는 꼴 보기 싫으면 리스트에 이름 올려."
162,3,"이민수씨 맞으시죠?
 네 누구시죠
 당신 몸캠이 찍힌 동영상 너희 부모님 친구들한테 보내려하는데 어때?
 뭐? 너 뭐하는놈이야
 당장 이 계좌로 천만원 보내
 아니 그렇게 큰 돈을 어떻게.
 허. 내 말이 장난같나 보구나 니네 엄마한테 먼저 보내주지
 제발요 아니 보낼게요 보내면되잖아
 당장 보내 3분줄게 그 안에 안 보내면 알아서 생각해
 알았어요 제발 기다려주세요
 흐흐 3분이라 했어 빨리 보내는게 좋을거야"
190,3,"너 지금 어디야? 당장 나와!
 죄송합니다.
 어라? 이게 말대꾸까지 하네? 너 하나정도는 내가 바로 처리할 수 있어.
 그만하세요 제발.
 이 자식이? 너 간이며 신장이며 눈까지 뽑을거야.
 죄송해요.
 계속 말대꾸하네? 죽고 싶어 환장했구나?
 아니에요.살려주세요
 너 가족모르게 조용히 끝내줄게. 오늘밤이 마지막이야. 잘가라
 가족은 건드리지 마세요.
 넌 이미 죽은 목숨이야.
 잘못했어요."
195,3,"이대로 죽고 싶나? 아니면 내가 시키는 대로 할건가?
시키는 대로 하겠습니다 선생님
그럼 내가 얘기했던 걸 구해와
선생님 그건 구하기가 너무 어렵습니다. 다른 걸로 하면 안 될까요?
아니. 다른 건 안 돼. 그럼 죽음 뿐이야.
제발 다른 걸로 하겠습니다. 살려만 주십시오.
아니. 다른 선택지는 너에게 없어. 죽던가 그걸 구해온다.
네 알겠습니다. 그럼 구해오도록 하겠습니다.
좋아. 그럼 내일까지 구해오도록 해.
네. 내일 이 시간에 여기서 뵙겠습니다."
199,3,"맞고싶지 않으면 똑바로 얘기해
잘못했어요 저는 아무것도 몰라요
모르면 알아야지
진짜 몰라요저는
그럼맞아야지
죄송해요 시간 주시면 제가 알아올게요
언제까지?
일주일만 주세요
그때 못알아오면 죽는다
네 알겠어요"
200,3,"야 민식아 너 몇달전에 빌린 내 돈 좀 다시 돌려줘야겠다. 내가 급해서 말이야
뭐 갑자기?? 나도 지금 쪼들린단 말이야. 세 달 뒤에 갚으면 안될까?
뭐? 내가 지금 다섯달 기다렸으면 많이 기다린 거 아니야? 서울 살면서 뭐가 쪼들려? 내가 빌려준 건 생각 안 하냐?
야 뭔 말을 그렇게 하냐 내가 그냥 가져 갔냐? 훔쳤어? 내가 다시 돌려준다고 했잖아
야 이게 미쳤냐? 니가 뭔데 언성을 높혀 뭐가 잘났다고!
참나 이거 본성 나오네. 나도 니 말고 빌릴 사람 많아. 그냥 빌린것도 아니고 이자 4씩 쳐준다고 했잖아.
됐고 두시간안에 빌린 돈 계좌로 입금안 하면 니 엄마 아빠 할아버지 동생까지 싹 다 농약 먹여서 죽여버릴거니까 생각 잘 해.
뭐? 이게 미쳤냐? 그러고도 너는 무사 할 거 같냐?
그럼 그냥 가족들이랑 영영 못 만나고 헤어지던가 
알았어. 조금만 더 시간을 줘 가족들은 건들지 말아줘."
201,3,"돈갚아
돈없는데 어떻게 갚아
남의돈을 떼먹고 넌 여기서 희희낙낙이야
니돈갚으면되잖아
죽을래.아님 저섬에 팔아버린다
.그럴 능력이나되니
당연하지 지금이라도 너 가만안둬
얼마되지도 않는 돈이구만
너 죽도록 패줄게.지금
나도 가만안있지"
202,3,"내일까지 빚진 돈 갚으라고 했지?
죄송합니다 좀더 시간을 주세요 
딸이 공부 잘한다고?
제발 제딸만은. 틀림없이 이반주까지 꼭 갚겠습니다 
겁대가리없이. 이놈 않되겠네 
정말입니다 시간 좀 주시면 제가 꼭 갚겠습니다 
내일 니딸 학교로 애들 풀까?
아닙니다 제가 모레까지 시간 주시면 꼭 마련하겠습니다
약속지켜! 그렇지 않으면 재미없어
모레까지 꼭 갚겠습니다"
205,3,"너 나한테 왜이래!!!
나 이 사람 사랑해우리 헤어지자
니가 나한테 어떻게 이럴 수 있어!!!!
우린 인연이 아니야.
너랑 이 새끼 다 죽여버릴거야!!!!
저 이러지말고 저희 대화로.
너 왜이래제발 이러지마.
나쁜년!죽여버릴거야!!!!
살.살살려줘.제발 이러지마.
그거 내려놓으시고 저희 얘기 좀."
207,3,"아줌마 죽고 싶어환장했어?
 왜 화를 내고 그러세요. 
 어 집에서 살림이나 할것이지 왜 차를 끌고나와
신호위반하신건 그쪽이시잖아요
뭐? 뭘 잘했다고 따박따박 말대답이야
왜 그러세요 정말
아줌마 죽고 싶은거 맞네 어 그래서 겁대가리 상실해서 달라는거지?
그런거아니에요
아줌마 차몰고 가봐 내가 뒤에서 쫓아가면서 콱 박아 뒤져버리게해줄테니까
그만하세요"
209,3,"어디부터 잘라줄까?
 사살려주세요.
 친구야 내가 장난같아? 손가락부터 잘라줄까?
 도대체 저한테 왜이러시는건데요
 이러는 이유? 딱히 없지 난 그냥 남이 고통받는게 좋아
 제발 살려주세요 돈 다 드릴게요 정말입니다
 난 돈은 필요없어 너가 고통받으면서 죽기만 하면된다고
 집에 제 딸들과 부인이 기다리고있습니다 제발 부탁드립니다
 너 대신 죽을사람이 나타나면 풀어줄게 그전까진 넌 절대 못나가
 제발 한번만 다시 생각해주세요 제발 살려주세요"
210,3,"내가 돈 훔쳤다고 니가 고발했지?
 나 아니야 왜그래 그리고 니가 훔친거 맞잖아
 내가 훔쳤다는 증거있어??
 내가 보고하는 말이야 내가 증인이야
 너 때문에 이미지 다 망쳐서 이제 내 주변에 아무도 없어 너도 똑같이 만들어줄거야
 왜이리 극단적이야 진정해 내가 말안했어
 내가 우스워지는게 보고싶어서 그랬나본데 너 길 지나다닐때 내가 벽돌로 머리쳐서 죽일거야 너
 내가 안했다는데 왜그래
 다 필요없어 밤이든 낮이든 몸 조심해라 내가 빠른시일내에 너 죽이러간다
 미쳤어? 정신차려 너 진짜 신고할거야"
211,3,"돈이 있는데 안 갚는게 아니잖아
펑펑 쓰고 다닌다는 말이 있던데
나 정말 사는 게 힘들어
알지
너까지 이러면 나 정말 죽어버릴꺼야
내 상황도 생각 좀 해줘
지금 여기에서 뛰어내릴 수도 있어
그런 소리 하지마
아니면 손목을 콱 그어버릴거야
그런 소리 좀 하지 말라고오"
216,3,"시험 다시 한 번만 보게 해줘요.
안돼. 너에게 어떤 이유가 있었더라도 원칙은 지켜야해.
저 이번 시험 진짜 중요해요. 이번 시험 못보면 죽은거나 마찬가지거든요.
아무리 시험이 중요하더라도 너의 목숨이랑 같니? 얼른 위험하니 내려와.
말씀드렸잖아요. 전 시험 못보면 죽은거나 마찬가지라고요. 시험 다시 못보면 그냥 여기서 떨어져버릴거라고요.
이상한 소리하지말고 다시 한 번 잘 생각해. 너 나중에 후회해.
무슨 일이 있어도 다시 시험볼거라고요! 얼른 시험 다시 보게 해줘요!
진정해. 야.
저는 쌤이 시험 다시 보게 안해주면 떨어질거고 마음 안변해요 얼른요!
원칙은 원칙이야.!"
220,3,"이걸로 좀 맞자.
아니요 제발 살려주세요.
갈비뼈 좀 나가봐야 정신차리지?
안돼요! 망치 좀 제발 버리세요.
망치로 너를 죽일거야.
제발 살려주세요.
갈비뼈 부런진다고 죽지않아.
제발 살려주세요.
상해를 입는거지!
살려주세요!"
222,3,"너는 내 말이 우습나?
 아닙니다
 그럼 장난같나?
 아니요
 그런게 아니라면 이딴 식으로 집안을 엉망진창으로 해 둘 수가 있어?
 고치겠습니다.
 말로만 고치겠다고 한 것만 벌써 몇 번째야?
 면목 없습니다.
 다음에 또 이런 일 있으면 니 엄마 부터 다리를 분질러버리고 본 때를 보여줄거야. 대체 애새끼 교육을 어떻게 시키는거야 알아 듣겠어?
 알겠습니다."
224,3,"다가오지마! 더 이상 다가오면 찔러버릴거야!
살려주세요
진정하고 무기를 내려놓으세요.
진정? 내가 얘한테 사기당한게 얼만데!!
선생님 잘못했습니다. 제가 꼭 보상하겠습니다!
이럴수록 선생님만 힘들어집니다. 어서 무기를 내려놓으세요!
개소리 집어쳐! 오늘 얘 죽이고 나도 죽을거니까
당장 멈추지 않으면 저희도 선생님을 쏠 수 밖에 없어요!
쏠테면 쏴봐! 둘다 죽어버리자고!
제발 살려주세요"
